id,group,n,escapes,fainted,ignored
2,Control,12,10,2,0
4,Control,10,7,0,3
6,Control,11,9,0,2
8,Control,12,5,5,1
10,Control,10,5,0,4
12,Control,11,9,1,0
13,Control,11,9,0,2
15,Control,13,10,1,2
17,Control,11,9,0,0
19,Control,10,10,0,0
21,Control,10,8,0,2
23,Control,11,11,0,0
25,Control,11,7,1,3
27,Control,10,9,0,1
29,Control,10,9,0,1
31,Control,10,10,0,0
34,Control,8,7,0,1
36,Control,10,9,0,1
38,Control,10,10,0,0
40,Control,10,7,0,3
42,Control,10,10,0,0
1,Dark-reared,11,10,0,1
3,Dark-reared,12,8,0,3
5,Dark-reared,12,10,2,0
7,Dark-reared,12,5,4,2
9,Dark-reared,10,9,0,1
11,Dark-reared,11,6,0,5
14,Dark-reared,11,9,0,2
16,Dark-reared,12,12,0,0
18,Dark-reared,11,11,0,0
20,Dark-reared,10,6,0,3
22,Dark-reared,10,9,0,1
24,Dark-reared,12,8,3,1
26,Dark-reared,10,7,0,3
28,Dark-reared,11,4,0,7
30,Dark-reared,13,7,3,3
32,Dark-reared,11,3,7,1
33,Dark-reared,11,5,0,6
35,Dark-reared,10,9,0,1
37,Dark-reared,11,11,0,0
39,Dark-reared,10,8,0,2
41,Dark-reared,10,6,4,0